condition,family,seed,planner,event_target,route,path_length,route_risk,all_returnable,min_recoverability,mean_recoverability,terminal_recoverability,commitment_loss,maximum_single_step_loss,bottleneck_exposure,fragility_penalty,event_blocks_route,mission_success,objective_value
risk_resilient,open,12,J0_shortest,none,fragile,36,3.197088927843284,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,12,J1_risk,none,fragile,36,3.197088927843284,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,99.94177855686567
risk_resilient,open,12,J2_recoverability,none,resilient,36,4.050682726888169,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,12,J3_joint,none,fragile,36,3.197088927843284,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,130.91907585416297
risk_resilient,open,13,J0_shortest,fragile,fragile,36,3.2423553263711438,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,36.0
risk_resilient,open,13,J1_risk,fragile,fragile,36,3.2423553263711438,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,100.84710652742288
risk_resilient,open,13,J2_recoverability,fragile,resilient,36,4.115327909511651,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,13,J3_joint,fragile,fragile,36,3.2423553263711438,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,131.82440382472018
risk_resilient,open,14,J0_shortest,none,fragile,36,3.212149594885475,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,14,J1_risk,none,fragile,36,3.212149594885475,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,100.2429918977095
risk_resilient,open,14,J2_recoverability,none,resilient,36,4.086984144681296,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,14,J3_joint,none,fragile,36,3.212149594885475,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,131.2202891950068
risk_resilient,open,15,J0_shortest,resilient,fragile,36,3.221713649956245,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,15,J1_risk,resilient,fragile,36,3.221713649956245,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,100.4342729991249
risk_resilient,open,15,J2_recoverability,resilient,resilient,36,4.081677371474274,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
risk_resilient,open,15,J3_joint,resilient,fragile,36,3.221713649956245,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,131.4115702964222
risk_resilient,open,16,J0_shortest,none,fragile,36,3.2194986437365887,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,16,J1_risk,none,fragile,36,3.2194986437365887,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,100.38997287473177
risk_resilient,open,16,J2_recoverability,none,resilient,36,4.068397023891483,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,16,J3_joint,none,fragile,36,3.2194986437365887,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,131.36727017202907
risk_resilient,open,17,J0_shortest,resilient,fragile,36,3.1764391205286873,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
