cell_id_cov,row_cov,col_cov,center_x_cov,center_z_cov,covered,idx,cell_id_unc,row_unc,col_unc,center_x_unc,center_z_unc,feature_density_norm,uncertainty,priority
591,19,2,-21.046348278625445,-13.832993293053043,0,591,591,19,2,-21.046348278625445,-13.832993293053043,0.0,1.0,1.5
592,19,3,-20.046348278625445,-13.832993293053043,0,592,592,19,3,-20.046348278625445,-13.832993293053043,0.0,1.0,1.5
593,19,4,-19.046348278625445,-13.832993293053043,0,593,593,19,4,-19.046348278625445,-13.832993293053043,0.0,1.0,1.5
594,19,5,-18.046348278625445,-13.832993293053043,0,594,594,19,5,-18.046348278625445,-13.832993293053043,0.0,1.0,1.5
595,19,6,-17.046348278625445,-13.832993293053043,0,595,595,19,6,-17.046348278625445,-13.832993293053043,0.0,1.0,1.5
596,19,7,-16.046348278625445,-13.832993293053043,0,596,596,19,7,-16.046348278625445,-13.832993293053043,0.0,1.0,1.5
597,19,8,-15.046348278625445,-13.832993293053043,0,597,597,19,8,-15.046348278625445,-13.832993293053043,0.0,1.0,1.5
598,19,9,-14.046348278625445,-13.832993293053043,0,598,598,19,9,-14.046348278625445,-13.832993293053043,0.0,1.0,1.5
599,19,10,-13.046348278625445,-13.832993293053043,0,599,599,19,10,-13.046348278625445,-13.832993293053043,0.0,1.0,1.5
600,19,11,-12.046348278625445,-13.832993293053043,0,600,600,19,11,-12.046348278625445,-13.832993293053043,0.0,1.0,1.5
601,19,12,-11.046348278625445,-13.832993293053043,0,601,601,19,12,-11.046348278625445,-13.832993293053043,0.0,1.0,1.5
602,19,13,-10.046348278625445,-13.832993293053043,0,602,602,19,13,-10.046348278625445,-13.832993293053043,0.0,1.0,1.5
603,19,14,-9.046348278625445,-13.832993293053043,0,603,603,19,14,-9.046348278625445,-13.832993293053043,0.0,1.0,1.5
604,19,15,-8.046348278625445,-13.832993293053043,0,604,604,19,15,-8.046348278625445,-13.832993293053043,0.0,1.0,1.5
605,19,16,-7.0463482786254446,-13.832993293053043,0,605,605,19,16,-7.0463482786254446,-13.832993293053043,0.0,1.0,1.5
606,19,17,-6.0463482786254446,-13.832993293053043,0,606,606,19,17,-6.0463482786254446,-13.832993293053043,0.0,1.0,1.5
607,19,18,-5.0463482786254446,-13.832993293053043,0,607,607,19,18,-5.0463482786254446,-13.832993293053043,0.0,1.0,1.5
608,19,19,-4.0463482786254446,-13.832993293053043,0,608,608,19,19,-4.0463482786254446,-13.832993293053043,0.0,1.0,1.5
609,19,20,-3.046348278625445,-13.832993293053043,1,609,609,19,20,-3.046348278625445,-13.832993293053043,0.0,1.0,0.5
611,19,22,-1.0463482786254446,-13.832993293053043,1,611,611,19,22,-1.0463482786254446,-13.832993293053043,0.0,1.0,0.5
612,19,23,-0.0463482786254445,-13.832993293053043,0,612,612,19,23,-0.0463482786254445,-13.832993293053043,0.0,1.0,1.5
613,19,24,0.9536517213745554,-13.832993293053043,0,613,613,19,24,0.9536517213745554,-13.832993293053043,0.0,1.0,1.5
614,19,25,1.9536517213745557,-13.832993293053043,0,614,614,19,25,1.9536517213745557,-13.832993293053043,0.0,1.0,1.5
615,19,26,2.9536517213745554,-13.832993293053043,0,615,615,19,26,2.9536517213745554,-13.832993293053043,0.0,1.0,1.5
616,19,27,3.953651721374555,-13.832993293053043,0,616,616,19,27,3.953651721374555,-13.832993293053043,0.0,1.0,1.5
617,19,28,4.9536517213745554,-13.832993293053043,0,617,617,19,28,4.9536517213745554,-13.832993293053043,0.0,1.0,1.5
618,19,29,5.9536517213745554,-13.832993293053043,0,618,618,19,29,5.9536517213745554,-13.832993293053043,0.0,1.0,1.5
619,19,30,6.9536517213745554,-13.832993293053043,0,619,619,19,30,6.9536517213745554,-13.832993293053043,0.0,1.0,1.5
620,20,0,-23.046348278625445,-12.832993293053043,0,620,620,20,0,-23.046348278625445,-12.832993293053043,0.0,1.0,1.5
621,20,1,-22.046348278625445,-12.832993293053043,0,621,621,20,1,-22.046348278625445,-12.832993293053043,0.0,1.0,1.5
622,20,2,-21.046348278625445,-12.832993293053043,0,622,622,20,2,-21.046348278625445,-12.832993293053043,0.0,1.0,1.5
623,20,3,-20.046348278625445,-12.832993293053043,0,623,623,20,3,-20.046348278625445,-12.832993293053043,0.0,1.0,1.5
624,20,4,-19.046348278625445,-12.832993293053043,0,624,624,20,4,-19.046348278625445,-12.832993293053043,0.0,1.0,1.5
625,20,5,-18.046348278625445,-12.832993293053043,0,625,625,20,5,-18.046348278625445,-12.832993293053043,0.0,1.0,1.5
626,20,6,-17.046348278625445,-12.832993293053043,0,626,626,20,6,-17.046348278625445,-12.832993293053043,0.0,1.0,1.5
627,20,7,-16.046348278625445,-12.832993293053043,0,627,627,20,7,-16.046348278625445,-12.832993293053043,0.0,1.0,1.5
628,20,8,-15.046348278625445,-12.832993293053043,0,628,628,20,8,-15.046348278625445,-12.832993293053043,0.0,1.0,1.5
629,20,9,-14.046348278625445,-12.832993293053043,0,629,629,20,9,-14.046348278625445,-12.832993293053043,0.0,1.0,1.5
630,20,10,-13.046348278625445,-12.832993293053043,0,630,630,20,10,-13.046348278625445,-12.832993293053043,0.0,1.0,1.5
631,20,11,-12.046348278625445,-12.832993293053043,0,631,631,20,11,-12.046348278625445,-12.832993293053043,0.0,1.0,1.5
632,20,12,-11.046348278625445,-12.832993293053043,0,632,632,20,12,-11.046348278625445,-12.832993293053043,0.0,1.0,1.5
633,20,13,-10.046348278625445,-12.832993293053043,0,633,633,20,13,-10.046348278625445,-12.832993293053043,0.0,1.0,1.5
634,20,14,-9.046348278625445,-12.832993293053043,0,634,634,20,14,-9.046348278625445,-12.832993293053043,0.0,1.0,1.5
635,20,15,-8.046348278625445,-12.832993293053043,0,635,635,20,15,-8.046348278625445,-12.832993293053043,0.0,1.0,1.5
636,20,16,-7.0463482786254446,-12.832993293053043,0,636,636,20,16,-7.0463482786254446,-12.832993293053043,0.0,1.0,1.5
637,20,17,-6.0463482786254446,-12.832993293053043,0,637,637,20,17,-6.0463482786254446,-12.832993293053043,0.0,1.0,1.5
638,20,18,-5.0463482786254446,-12.832993293053043,0,638,638,20,18,-5.0463482786254446,-12.832993293053043,0.0,1.0,1.5
639,20,19,-4.0463482786254446,-12.832993293053043,0,639,639,20,19,-4.0463482786254446,-12.832993293053043,0.0,1.0,1.5
640,20,20,-3.046348278625445,-12.832993293053043,1,640,640,20,20,-3.046348278625445,-12.832993293053043,0.0,1.0,0.5
642,20,22,-1.0463482786254446,-12.832993293053043,1,642,642,20,22,-1.0463482786254446,-12.832993293053043,0.0,1.0,0.5
643,20,23,-0.0463482786254445,-12.832993293053043,0,643,643,20,23,-0.0463482786254445,-12.832993293053043,0.0,1.0,1.5
644,20,24,0.9536517213745554,-12.832993293053043,0,644,644,20,24,0.9536517213745554,-12.832993293053043,0.0,1.0,1.5
645,20,25,1.9536517213745557,-12.832993293053043,0,645,645,20,25,1.9536517213745557,-12.832993293053043,0.0,1.0,1.5
646,20,26,2.9536517213745554,-12.832993293053043,0,646,646,20,26,2.9536517213745554,-12.832993293053043,0.0,1.0,1.5
647,20,27,3.953651721374555,-12.832993293053043,0,647,647,20,27,3.953651721374555,-12.832993293053043,0.0,1.0,1.5
648,20,28,4.9536517213745554,-12.832993293053043,0,648,648,20,28,4.9536517213745554,-12.832993293053043,0.0,1.0,1.5
649,20,29,5.9536517213745554,-12.832993293053043,0,649,649,20,29,5.9536517213745554,-12.832993293053043,0.0,1.0,1.5
650,20,30,6.9536517213745554,-12.832993293053043,0,650,650,20,30,6.9536517213745554,-12.832993293053043,0.0,1.0,1.5
651,21,0,-23.046348278625445,-11.832993293053043,0,651,651,21,0,-23.046348278625445,-11.832993293053043,0.0,1.0,1.5
652,21,1,-22.046348278625445,-11.832993293053043,0,652,652,21,1,-22.046348278625445,-11.832993293053043,0.0,1.0,1.5
653,21,2,-21.046348278625445,-11.832993293053043,0,653,653,21,2,-21.046348278625445,-11.832993293053043,0.0,1.0,1.5
654,21,3,-20.046348278625445,-11.832993293053043,0,654,654,21,3,-20.046348278625445,-11.832993293053043,0.0,1.0,1.5
655,21,4,-19.046348278625445,-11.832993293053043,0,655,655,21,4,-19.046348278625445,-11.832993293053043,0.0,1.0,1.5
656,21,5,-18.046348278625445,-11.832993293053043,0,656,656,21,5,-18.046348278625445,-11.832993293053043,0.0,1.0,1.5
657,21,6,-17.046348278625445,-11.832993293053043,0,657,657,21,6,-17.046348278625445,-11.832993293053043,0.0,1.0,1.5
658,21,7,-16.046348278625445,-11.832993293053043,0,658,658,21,7,-16.046348278625445,-11.832993293053043,0.0,1.0,1.5
659,21,8,-15.046348278625445,-11.832993293053043,0,659,659,21,8,-15.046348278625445,-11.832993293053043,0.0,1.0,1.5
660,21,9,-14.046348278625445,-11.832993293053043,0,660,660,21,9,-14.046348278625445,-11.832993293053043,0.0,1.0,1.5
661,21,10,-13.046348278625445,-11.832993293053043,0,661,661,21,10,-13.046348278625445,-11.832993293053043,0.0,1.0,1.5
662,21,11,-12.046348278625445,-11.832993293053043,0,662,662,21,11,-12.046348278625445,-11.832993293053043,0.0,1.0,1.5
663,21,12,-11.046348278625445,-11.832993293053043,0,663,663,21,12,-11.046348278625445,-11.832993293053043,0.0,1.0,1.5
664,21,13,-10.046348278625445,-11.832993293053043,0,664,664,21,13,-10.046348278625445,-11.832993293053043,0.0,1.0,1.5
665,21,14,-9.046348278625445,-11.832993293053043,0,665,665,21,14,-9.046348278625445,-11.832993293053043,0.0,1.0,1.5
666,21,15,-8.046348278625445,-11.832993293053043,0,666,666,21,15,-8.046348278625445,-11.832993293053043,0.0,1.0,1.5
667,21,16,-7.0463482786254446,-11.832993293053043,0,667,667,21,16,-7.0463482786254446,-11.832993293053043,0.0,1.0,1.5
668,21,17,-6.0463482786254446,-11.832993293053043,0,668,668,21,17,-6.0463482786254446,-11.832993293053043,0.0,1.0,1.5
669,21,18,-5.0463482786254446,-11.832993293053043,0,669,669,21,18,-5.0463482786254446,-11.832993293053043,0.0,1.0,1.5
