cell_id,row,col,center_x,center_z,covered,uncertainty,pose_uncertainty,pose_uncertainty_norm,uncertainty_fused
149,4,25,1.953651721374556,-28.832993293053043,1,0.2,0.029238445879613165,0.25248337244415636,0.2262416862220782
150,4,26,2.9536517213745554,-28.832993293053043,1,0.2,0.0335595562212433,0.2904562585074509,0.24522812925372545
151,4,27,3.953651721374555,-28.832993293053043,1,0.2,0.08601610417531826,0.7514318784871954,0.4757159392435977
152,4,28,4.9536517213745554,-28.832993293053043,1,0.2,0.0,0.0,0.1
153,4,29,5.9536517213745554,-28.832993293053043,0,0.8,0.0,0.0,0.4
154,4,30,6.9536517213745554,-28.832993293053043,0,0.8,0.0,0.0,0.4
155,5,0,-23.046348278625445,-27.832993293053043,0,0.8,0.0,0.0,0.4
156,5,1,-22.046348278625445,-27.832993293053043,0,0.8,0.0,0.0,0.4
157,5,2,-21.046348278625445,-27.832993293053043,0,0.8,0.0,0.0,0.4
158,5,3,-20.046348278625445,-27.832993293053043,0,0.8,0.0,0.0,0.4
159,5,4,-19.046348278625445,-27.832993293053043,0,0.8,0.0,0.0,0.4
160,5,5,-18.046348278625445,-27.832993293053043,1,0.2,0.0,0.0,0.1
161,5,6,-17.046348278625445,-27.832993293053043,1,0.2,0.0,0.0,0.1
162,5,7,-16.046348278625445,-27.832993293053043,1,0.2,0.0,0.0,0.1
163,5,8,-15.046348278625445,-27.832993293053043,1,0.2,0.0,0.0,0.1
164,5,9,-14.046348278625445,-27.832993293053043,0,0.8,0.0,0.0,0.4
165,5,10,-13.046348278625445,-27.832993293053043,0,0.8,0.0,0.0,0.4
166,5,11,-12.046348278625445,-27.832993293053043,0,0.8,0.0,0.0,0.4
167,5,12,-11.046348278625445,-27.832993293053043,1,0.2,0.0,0.0,0.1
168,5,13,-10.046348278625445,-27.832993293053043,1,0.2,0.06148494069755945,0.535857870397975,0.3679289351989875
169,5,14,-9.046348278625445,-27.832993293053043,1,0.2,0.05162782790027037,0.44923591641581967,0.32461795820790984
170,5,15,-8.046348278625445,-27.832993293053043,1,0.2,0.06778476495927711,0.5912192219941801,0.39560961099709
171,5,16,-7.0463482786254446,-27.832993293053043,1,0.2,0.04734156800683598,0.41156928777109686,0.30578464388554844
172,5,17,-6.0463482786254446,-27.832993293053043,1,0.2,0.01626944092108926,0.13851485308009248,0.16925742654004625
173,5,18,-5.0463482786254446,-27.832993293053043,1,0.2,0.0,0.0,0.1
174,5,19,-4.0463482786254446,-27.832993293053043,1,0.2,0.0,0.0,0.1
175,5,20,-3.046348278625445,-27.832993293053043,1,0.2,0.056671424434294466,0.493557838652009,0.34677891932600446
176,5,21,-2.046348278625445,-27.832993293053043,1,0.2,0.05906673205309215,0.5146072301518874,0.35730361507594366
177,5,22,-1.0463482786254446,-27.832993293053043,1,0.2,0.04216425641530469,0.36607230953257647,0.28303615476628824
178,5,23,-0.0463482786254445,-27.832993293053043,1,0.2,0.020479818610067393,0.1755146470281196,0.18775732351405983
179,5,24,0.9536517213745554,-27.832993293053043,1,0.2,0.02317137542349247,0.1991674057240518,0.19958370286202592
180,5,25,1.953651721374556,-27.832993293053043,1,0.2,0.05861512041878506,0.5106385749270518,0.3553192874635259
181,5,26,2.9536517213745554,-27.832993293053043,1,0.2,0.0,0.0,0.1
182,5,27,3.953651721374555,-27.832993293053043,1,0.2,0.02975236453188834,0.2569995668677602,0.2284997834338801
183,5,28,4.9536517213745554,-27.832993293053043,1,0.2,0.0,0.0,0.1
184,5,29,5.9536517213745554,-27.832993293053043,0,0.8,0.0,0.0,0.4
185,5,30,6.9536517213745554,-27.832993293053043,0,0.8,0.0,0.0,0.4
186,6,0,-23.046348278625445,-26.832993293053043,0,0.8,0.0,0.0,0.4
187,6,1,-22.046348278625445,-26.832993293053043,0,0.8,0.0,0.0,0.4
188,6,2,-21.046348278625445,-26.832993293053043,0,0.8,0.0,0.0,0.4
189,6,3,-20.046348278625445,-26.832993293053043,0,0.8,0.0,0.0,0.4
190,6,4,-19.046348278625445,-26.832993293053043,1,0.2,0.0,0.0,0.1
191,6,5,-18.046348278625445,-26.832993293053043,1,0.2,0.026146973196813115,0.2253162485638002,0.21265812428190012
